,file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
0,2020_02_13_0000,-337.6319275,-42.69101334,29.61805204,234.241336,204.623284,0.308941841,1.509807853,150.21054080000002,1,control,-10,-0.6898996755936967,-0.08771365823507621
1,2020_02_13_0000,-337.93215939999993,-37.43323135,29.59173823,267.1423128,237.55057459999998,0.33750888700000004,1.4207875,121.27146909999999,1,control,-10,0.056679144426906754,-0.4409617868434234
2,2020_02_13_0000,-334.2667542,-40.65335083,29.91622671,245.98218340000003,216.0659567,0.365314752,1.690755719,106.8414459,1,control,-10,-0.43045357703592585,0.6303187117351253
3,2020_02_13_0000,-322.5341492,-33.38394165,31.00446891,299.54521560000006,268.5407467,0.317153513,1.181025663,100.4554443,1,control,-10,0.7593365965603499,-1.3923781470093914
4,2020_02_13_0000,-325.85116580000005,-29.47973251,30.68885752,339.2161037,308.5272461,0.32264608100000003,1.045762037,99.50927734,1,control,-10,1.6659727939159443,-1.9291275660246066
5,2020_02_13_0000,-320.98947139999996,-30.11119652,31.15366979,332.1023791,300.9487093,0.33292731600000003,1.106259327,90.50647736,1,control,-10,1.4941404032598264,-1.6890638754394154
6,2020_02_13_0000,-326.18240360000004,-30.26491737,30.65769303,330.4155725,299.7578794,0.34303322399999997,1.144367664,87.8026886,1,control,-10,1.4671400529307506,-1.5378434154438656
7,2020_02_13_0000,-309.34329219999995,-21.51678658,32.32654546,464.7534131,432.4268676,0.38781905200000005,0.896843098,78.87238312,1,control,-10,4.47521799857513,-2.520063624389716
8,2020_02_13_0000,-317.0970764,-36.25908661,31.53608388,275.7929373,244.2568534,0.35061085200000003,1.435418689,67.83554077,1,control,-10,0.2087343430782413,-0.3829027030565392
9,2020_02_13_0000,-311.30633539999997,-36.82743454,32.12269993,271.5366988,239.4139989,0.343214959,1.433562618,71.40598297,1,control,-10,0.09892960262560639,-0.39026791320476456
10,2020_02_13_0001,-307.6237488,-26.91766357,32.50724315,371.5032686,338.99602539999995,0.386726141,1.140798452,63.86855698,1,control,-10,2.3568084163665257,-1.5520066648257955
11,2020_02_13_0001,-305.400116,-42.19713974,32.74392994,236.982887,204.2389571,0.34523245700000005,1.6903359759999999,67.20227814,1,monochromator,-10,-0.6986137336979549,0.628653099049378
12,2020_02_13_0001,-311.1176147,-47.49095917,32.14218523,210.56639359999997,178.4242084,0.327215433,1.833918369,60.80304718,1,monochromator,-10,-1.2839259252687494,1.1984128216193202
13,2020_02_13_0001,-311.9952087,-38.07676697,32.05177426,262.6273394,230.5755651,0.37193185100000004,1.613058395,58.05560684,1,monochromator,-10,-0.10146913522967949,0.3220023169340797
