file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC
2020_02_13_0000,-337.6319275,-42.69101334,29.61805204,234.241336,204.623284,0.308941841,1.509807853,150.2105408,1,control,-10
2020_02_13_0000,-337.9321594,-37.43323135,29.59173823,267.1423128,237.5505746,0.337508887,1.4207875,121.2714691,1,control,-10
2020_02_13_0000,-334.2667542,-40.65335083,29.91622671,245.9821834,216.0659567,0.365314752,1.690755719,106.8414459,1,control,-10
2020_02_13_0000,-322.5341492,-33.38394165,31.00446891,299.5452156,268.5407467,0.317153513,1.181025663,100.4554443,1,control,-10
2020_02_13_0000,-325.8511658,-29.47973251,30.68885752,339.2161037,308.5272461,0.322646081,1.045762037,99.50927734,1,control,-10
2020_02_13_0000,-320.9894714,-30.11119652,31.15366979,332.1023791,300.9487093,0.332927316,1.106259327,90.50647736,1,control,-10
2020_02_13_0000,-326.1824036,-30.26491737,30.65769303,330.4155725,299.7578794,0.343033224,1.144367664,87.8026886,1,control,-10
2020_02_13_0000,-309.3432922,-21.51678658,32.32654546,464.7534131,432.4268676,0.387819052,0.896843098,78.87238312,1,control,-10
2020_02_13_0000,-317.0970764,-36.25908661,31.53608388,275.7929373,244.2568534,0.350610852,1.435418689,67.83554077,1,control,-10
2020_02_13_0000,-311.3063354,-36.82743454,32.12269993,271.5366988,239.4139989,0.343214959,1.433562618,71.40598297,1,control,-10
2020_02_13_0001,-307.6237488,-26.91766357,32.50724315,371.5032686,338.9960254,0.386726141,1.140798452,63.86855698,1,control,-10
2020_02_13_0001,-305.400116,-42.19713974,32.74392994,236.982887,204.2389571,0.345232457,1.690335976,67.20227814,1,monochromator,-10
2020_02_13_0001,-311.1176147,-47.49095917,32.14218523,210.5663936,178.4242084,0.327215433,1.833918369,60.80304718,1,monochromator,-10
2020_02_13_0001,-311.9952087,-38.07676697,32.05177426,262.6273394,230.5755651,0.371931851,1.613058395,58.05560684,1,monochromator,-10
2020_02_13_0001,-317.9436646,-45.21635437,31.4521128,221.1589178,189.706805,0.364700109,1.922440836,63.6639595,1,monochromator,-10
2020_02_13_0001,-317.0693665,-38.78451157,31.53883994,257.834883,226.296043,0.353331655,1.561369128,66.03831482,1,monochromator,-10
2020_02_13_0001,-311.4673157,-27.56777,32.10609748,362.7424343,330.6363368,0.32184875,0.973422199,60.67237854,1,monochromator,-10
2020_02_13_0001,-312.6649475,-38.2364769,31.98311829,261.5303713,229.547253,0.306379795,1.334713402,67.92954254,1,monochromator,-10
2020_02_13_0001,-316.3798218,-38.34563828,31.60757833,260.7858534,229.178275,0.326706648,1.425556798,68.88890839,1,monochromator,-10
2020_02_13_0001,-311.539917,-39.39121246,32.09861547,253.8637268,221.7651113,0.330247253,1.489175872,69.75888062,1,monochromator,-10
